,scholar_indx,name,grade,birth_date_place,death_date_place,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,Father,Mother,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,sibling1,siblings2,siblings3,siblings4,siblings5,siblings6,siblings7,siblings8,siblings9,siblings10,siblings11,placeStay1,placeStay2,placeStay3,placeStay4,placeStay5,teachers1,teachers2,teachers3,teachers4,teachers5,teachers6,teachers7,teachers8,teachers9,teachers10,teachers11,teachers12,teachers13,teachers14,teachers15,teachers16,teachers17,teachers18,teachers19,teachers20,teachers21,teachers22,teachers23,teachers24,students1,students2,students3,students4,students5,students6,students7,students8,students9,students10,students11,students12,students13,students14,students15,students16,students17,students18,students19,students20,students21,students22,students23,students24,area_of_interest1,area_of_interest2,area_of_interest3,area_of_interest4,area_of_interest5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,book1,book2,book3,book4,book5,book6,book7,book8,tbook9,book10,book11,book12,book13,tbook14,book15,book16
290,305,'Ubada bin 'Abdullah ibn Ubayy ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Abdullah ibn Ubayy (b. Salul) b. Malik,,,,,,,,,,,,,,,,,,,,,,,,,,Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , Muhammad bin 'Abdullah ibn Ubayy [306] , Ma'mar bin 'Abdullah ibn Ubayy [307],,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,,
291,306,Muhammad bin 'Abdullah ibn Ubayy ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Abdullah ibn Ubayy (b. Salul) b. Malik,,,,,,,,,,,,,,,,,,,,,,,,,,Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Ma'mar bin 'Abdullah ibn Ubayy [307],,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,,
292,307,Ma'mar bin 'Abdullah ibn Ubayy ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Abdullah ibn Ubayy (b. Salul) b. Malik,,,,,,,,,,,,,,,,,,,,,,,,,,Jamila bint 'Abdullah ibn Ubayy [286] , 'Abdullah bin 'Abdullah ibn Ubayy [301] , Mulayka bint 'Abdullah ibn Ubayy [302] , Ramla bint 'Abdullah ibn Ubayy [303] , Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy [304] , 'Ubada bin 'Abdullah ibn Ubayy [305] , Muhammad bin 'Abdullah ibn Ubayy [306],,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,,
293,308,'Abdullah bin 'Abs ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , Ally B.al-Harith B.al-Khazraj [Ally%20B.al-Harith%20B.al-Khazraj] , Badr [Badr],,,,,,,,,,,,,,,,,,,,,,,
294,309,Umm Malik bint Ubayy bin Malik ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Ubayy (b. Salul) b. Malik,Salma bint Matruf of Aws,Rafi' bin Malik bin al-'Ajlan [321],,,,,,,,,,,,Malik bin Rafi' bin Malik [322] , Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323] , Khallad bin Rafi' bin Malik [324],,,,,,,,,,'Abdullah ibn Ubayy (b. Salul) b. Malik,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,
295,310,Zayd bin Wadi'a b. 'Amr ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Wadi'a b. 'Amr b. Qays,Umm Zayd bint al-Harith of B.al-Hubla,Zaynab bint Sahl bin al-Sa'b [311],,,,,,,,,,,,Sa'd, Umama, Umm Khultum,,,,,,,,,,,,,,,,,,,,,Medina, Iraq,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,
296,311,Zaynab bint Sahl bin al-Sa'b ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Sahl bin al-Sa'b b. Qays,,Zayd bin Wadi'a b. 'Amr [310],,,,,,,,,,,,Sa'd, Umama, Umm Khultum,,,,,,,,,,,,,,,,,,,,,Medina, Iraq,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,
297,312,Rifa'a bin 'Amr bin Zayd ,Comp.(RA),(Medina),"3 AH/625 CE (Hijaz, Uhud)[ Martyred(Uhud) ]",Medina,[],,,3,625,"Hijaz, Uhud, Uhud",Martyred,'Amr bin Zayd b. 'Amr b. b. Tha'laba,Umm Rifa'a bint Qays nin Malik al-Hubla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Aqaba 2 [Aqaba%202] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,
298,313,Ma'bad bin 'Abbad b. Qushayr ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Amr bin Zayd b. 'Amr b. b. Tha'laba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,
299,314,Mu'adha bint 'Abdullah bin 'Amr ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,'Abdullah b. 'Amr b. Bazeen(Murra),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
300,315,Aws bin Khawli ,Comp.(RA),(Medina),~35 AH/655 CE (Medina)[ Natural ],Medina,[],,,35,655,Medina,Natural,Khawli b. 'Abdullah b. al-Harith,Jamila bint Ubayy bin Malik of B.al-Hubla,,,,,,,,,,,,,Fushum bint Aws bin Khawli [317],,,,,,,,,,,,Khawla bint Khawli [316],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,
301,316,Khawla bint Khawli ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Khawli b. 'Abdullah b. al-Harith,Jamila bint Ubayy bin Malik of B.al-Hubla,,,,,,,,,,,,,,,,,,,,,,,,,Aws bin Khawli [315],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,
302,317,Fushum bint Aws bin Khawli ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Aws bin Khawli [315],,'Itban ibn Murra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.'Auf B.al-Khazraj [B.'Auf%20B.al-Khazraj] , B.al-Hubla [B.al-Hubla] , B.Salm [B.Salm],,,,,,,,,,,,,,,,,,,,,
303,318,'Abdullah bin Rabi' bin Qays ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,Rabi' b. Qays b. 'Amir,Fatima bint 'Amr b. 'Atiya of B. Mazin,A women from B. Tai',,,,,,,,,,,,Abdur-Rahman, Sa'd,,,,,,,,,,,Na'ila bint Rabi' bin Qays [319],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Aqaba 2 [Aqaba%202] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,
304,319,Na'ila bint Rabi' bin Qays ,Comp.(RA),(Medinah),(Madinah)[ Natural ],Medinah,[],,,,,Madinah,Natural,/ Fatima bint 'Amr b. 'Atiya of B. Mazin,,Aws bin Khalid bin Qurt [1230],,,,,,,,,,,,,,,,,,,,,,,,'Abdullah bin Rabi' bin Qays [318],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj],,,,,,,,,,,,,,,,,,,,,,,
305,320,Abu Zayd al-Ansari ,Comp.(RA),(Medina),~16 AH (Kufa)[ Natural ],Medina,[],,,16,,Kufa,Natural,Zayd b. Qays b. Zayd,,,,,,,,,,,,,,Bashir,,,,,,,,,,,,,,,,,,,,,,,Medina, Kufa,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.al-Harith B.al-Khazraj [B.al-Harith%20B.al-Khazraj] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
306,321,Rafi' bin Malik bin al-'Ajlan ,Comp.(RA) [1st Generation],(Medinah),3 AH/625 CE (Medinah)[ Natural ],Medinah,[],,,3,625,Medinah,Natural,Malik bin al-'Ajlan b. 'Amr,Ma'uwiya bint al-'Ajlan of B. 'Auf,Umm Malik bint Ubayy bin Malik [309],,,,,,,,,,,,Malik bin Rafi' bin Malik [322] , Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323] , Khallad bin Rafi' bin Malik [324],,,,,,,,,,,,,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] , Mus'ab ibn 'Umair [12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq] , Aqaba 1 [Aqaba%201] , Aqaba 2 [Aqaba%202] , Aqaba Chief [Aqaba%20Chief] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,
307,322,Malik bin Rafi' bin Malik ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,Rafi' bin Malik bin al-'Ajlan [321],Umm Malik bint Ubayy bin Malik [309],,,,,,,,,,,,,,,,,,,,,,,,,Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323] , Khallad bin Rafi' bin Malik [324],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq],,,,,,,,,,,,,,,,,,,,,,,
308,323,Rifa'a bin Rafi' bin Malik bin al-'Ajlan ,Comp.(RA) [1st Generation],(Medinah),~42 AH (Medinah)[ Natural ],Medinah,[],,,42,,Medinah,Natural,Rafi' bin Malik bin al-'Ajlan [321],Umm Malik bint Ubayy bin Malik [309],Umm 'Abdur Rahman, Umm Walad, Salma bint Mu'adh, bint al-Fakah,,,,,,,,,'Abduar Rahman, 'Ubaid bin Rifa'a bin Rafi' bin Malik [19828] , Mu'adh bin Rifa'a bin Rafi' bin Malik [11554] , 'Ubaidullah, al-Nu'man, Ramla, Buthayna, Umm Sa'd, Umm Sa'd(younger), Kulthum,,,Malik bin Rafi' bin Malik [322] , Khallad bin Rafi' bin Malik [324],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Ubada bin As-Samit [40],,,,,,,,,,,,,,,,,,,,,,'Ubaid bin Rifa'a bin Rafi' bin Malik [19828] , Mu'adh bin Rifa'a bin Rafi' bin Malik [11554] , Yahya bin Khallad bin Rafi' bin Malik [325] , 'Ali bin Yahya bin Khlad [11710],,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,
309,324,Khallad bin Rafi' bin Malik ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,Rafi' bin Malik bin al-'Ajlan [321],Umm Malik bint Ubayy bin Malik [309],Umm Rafi' bint 'Uthman ibn Khalida [326],,,,,,,,,,,,Yahya bin Khallad bin Rafi' bin Malik [325],,,,,,,,,,,,Malik bin Rafi' bin Malik [322] , Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,
310,325,Yahya bin Khallad bin Rafi' bin Malik ,Comp.(RA) [1st Generation],~9 AH (Medinah),~129 AH (Medinah)[ Natural ],Medinah,['9 AH'],9,,129,,Medinah,Natural,Khallad bin Rafi' bin Malik [324],Umm Rafi' bint 'Uthman ibn Khalida [326],,,,,,,,,,,,,'Amir, 'Ali bin Yahya bin Khlad [11710],,,,,,,,,,,,,,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] , Rifa'a bin Rafi' bin Malik bin al-'Ajlan [323] , 'Umar ibn al-Khattab [3],,,,,,,,,,,,,,,,,,,,,,'Ali bin Yahya bin Khlad [11710] , Yahya bin 'Ali bin Yahya [12582],,,,,,,,,,,,,,,,,,,,,,,Narrator ,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq] , Child [Child],,,,,,,,,,,,,,,,,,,,,,
311,326,Umm Rafi' bint 'Uthman ibn Khalida ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn Khalida b. Mukhallad,Umm Jamil bint Qutba bin 'Amir [1096],Khallad bin Rafi' bin Malik [324],,,,,,,,,,,,Yahya bin Khallad bin Rafi' bin Malik [325],,,,,,,,,,,,Umama bint 'Uthman ibn Khalida [327] , Sa'd bin 'Uthman bin Khalada [1503] , 'Uqba bin 'Uthman bin Khalada [1504],,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq],,,,,,,,,,,,,,,,,,,,,,
312,327,Umama bint 'Uthman ibn Khalida ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Uthman ibn Khalida b. Mukhallad,Umm Jamil bint Qutba bin 'Amir [1096],Thabit bin Tha'laba bin Zayd [1009],,,,,,,,,,,,'Abdullah, al-Harith, Umm Iyas bint Thabit bin al-Jidha'(*) [1191],,,,,,,,,,Umm Rafi' bint 'Uthman ibn Khalida [326] , Sa'd bin 'Uthman bin Khalada [1503] , 'Uqba bin 'Uthman bin Khalada [1504],,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Khazraj [Khazraj] , B.Jusham B.al-Khazraj [B.Jusham%20B.al-Khazraj] , B.Zurayq [B.Zurayq],,,,,,,,,,,,,,,,,,,,,,
313,328,Al Aswad bin Nawfal ,Comp.(RA),(Makkah),(Medinah)[ Natural ],Makkah,[],,,,,Medinah,Natural,Nawfal bin Khuwailid bin Asad,Umm Laith bint Abi Laith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Makkah, Abyssinia, Medina,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Quraish [Quraish] , B.Asad [B.Asad] , Abyssinia 2 [Abyssinia%202] , Early Muslim [Early%20Muslim],,,,,,,,,,,,,,,,,,,,,,,
314,329,'Amir ibn al-Akwa' ,Comp.(RA),,7 AH (Khybar)[ Martyred(Khybar) ],,,,,7,,"Khybar, Khybar",Martyred,('Amr bin) al-Akwa(Sinan) b. 'Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,Salma ibn al-Akwa [237],,,,,,,,,,,Makkah, Medinah,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Art/Poetry,,,,Khuza'a [Khuza'a] , Aslam [Aslam] , Ridhwan [Ridhwan] , Khybar [Khybar],,,,,,,,,,,,,,,,,,,,,,,
315,330,Thabit bin Khalid bin al-Nu'man ,Comp.(RA),(Medinah),4 AH/626 CE or 12 AH (Medina)[ Martyred(B'ir Muna) ],Medinah,[],,,4,626,"Medina, B'ir Muna",Martyred,Khalid bin al-Nu'man,,Adam bint 'Amr bin Ma'uwiyya of B.Murra,,,,,,,,,,,,Dubayya bint Thabit bin Khalid [1289] , Ruqayya bint Thabit bin Khalid [1271],,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Badr [Badr] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
316,331,'Umara bin Hazm ibn Zayd ,Comp.(RA),(Medinah),12 AH/634 CE (Hijaz)[ Martyred(Yamama) ],Medinah,[],,,12,634,"Hijaz, Yamama",Martyred,Hazm ibn Zayd,Khalida bint Anas of B. Sa'ida,al-Nuwwar bint Malik bin Sirma [1350],,,,,,,,,,,,Malik bin 'Umara bin Hazm [1208],,,,,,,,,,,,'Amra bint Hazm ibn Zayd [215] , 'Amr bin Hazm ibn Zayd [1206] , Ma'mar bin Hazm ibn Zayd [1207],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Aqaba 2 [Aqaba%202] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,
317,332,Suraqa bin Ka'b bin 'Amr ,Comp.(RA),(Medinah),~50 AH/670 CE (Medina)[ Natural ],Medinah,[],,,50,670,Medina,Natural,Ka'b bin 'Amr b. 'Abdul 'Uzza,'Amira bint al-Nu'man of B.Ady B.al-Najjar,Umm Zayd bint al-Sakan bin 'Utba [1657] , Umm Walad,,,,,,,,,,,Zayd bin Suraqa bin Ka'b bin 'Amr [1214] , Sa'di (Umm Hakeem), Na'ila,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,
318,333,Haritha bin al-Nu'man ,Comp.(RA),(Medina),~40 AH (Medina)[ Natural ],Medina,[],,,40,,Medina,Natural,al-Nu'man bin Nafi' b. Zayd,Ja'da bint 'Ubayd b. Tha'laba [615],Umm Khalid bint Khalid [1274] , A woman from B.'Abdullah b.Ghatafan, A woman from B.Junda',,,,,,,,,,'Abdullah bin Haritha bin al-Nu'man [1231] , 'Abdur Rahman bin Haritha bin al-Nu'man [1232] , Sawda bint Haritha bin al-Nu'man [1257] , 'Amra bint Haritha bin al-Nu'man [1258] , Umm Hisham bint Haritha bin al-Nu'man [1259] , Umm Kultum, Amatallah,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,
319,334,Sulaym bin Qays bin Qahd ,Comp.(RA),(Medinah),~20 AH (Medinah)[ Natural ],Medinah,[],,,20,,Medinah,Natural,Qays bin Qahd [1219],Umm Sulaym bint Khalid [1270],,,,,,,,,,,,,,,,,,,,,,,,,Sa'id bin Qays, Khawla bint Qays bin Qahd [1261],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Badr [Badr] , Uhud [Uhud] , khandaq [khandaq],,,,,,,,,,,,,,,,,,,,,
320,335,Suhayl bin Rafi' ,Comp.(RA),(Medinah),~20 AH (Medinah)[ Natural ],Medinah,[],,,20,,Medinah,Natural,Rafi' b. 'Abd 'Amr b. 'A'idh,Rughayba bint Sahl bin Tha'laba [1262],,,,,,,,,,,,,,,,,,,,,,,,,Sahl bin Rafi' [339] , Su'ad bint Rafi' bin 'Abd 'Amr [1273],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Badr [Badr] , Uhud [Uhud] , khandaq [khandaq],,,,,,,,,,,,,,,,,,,,,
321,336,Mas'ud bin Aws bin Zayd ,Comp.(RA) [1st Generation],(Medinah),~20 AH (Medinah)[ Natural ],Medinah,[],,,20,,Medinah,Natural,Aws bin Zayd,'Amra bint Mas'ud #2 [1281],Habiba bint Aslam bin Haris of B.Haritha,,,,,,,,,,,,Sa'd, Umm 'Amr,,,,,,,,,,,Abu Khuzayma bin Aws bin Zayd [337],,,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,
